4,10000,2,0
4,10000,2,0
5,10000,2,0
7,10000,2,0
7,10000,2,0
5,10000,2,0
4,10000,2,0
2,10000,2,0
0,10000,2,0
0,10000,2,0
2,10000,2,0
4,10000,2,0
4,15000,2,0
2,5000,2,0
2,20000,2,0
4,10000,2,0
4,10000,2,0
5,10000,2,0
7,10000,2,0
7,10000,2,0
5,10000,2,0
4,10000,2,0
2,10000,2,0
0,10000,2,0
0,10000,2,0
2,10000,2,0
4,10000,2,0
2,15000,2,0
0,5000,2,0
0,20000,2,0
2,10000,2,0
2,10000,2,0
4,10000,2,0
0,10000,2,0
2,10000,2,0
4,5000,2,0
5,5000,2,0
4,10000,2,0
0,10000,2,0
2,10000,2,0
4,5000,2,0
5,5000,2,0
4,10000,2,0
2,10000,2,0
0,10000,2,0
2,10000,2,0
7,20000,2,0
4,10000,2,0
4,10000,2,0
5,10000,2,0
7,10000,2,0
7,10000,2,0
5,10000,2,0
4,10000,2,0
2,10000,2,0
0,10000,2,0
0,10000,2,0
2,10000,2,0
4,10000,2,0
2,15000,2,0
0,5000,2,0
0,20000,2,0
